ref_peperiksaan__kod_pusat,,,,,,,,,,,,,,,,,
id,no_sekolah,kod_pusat,id_jenis_calon,nama_pusat,nama_pusat_i18n,jumlah_calon,id_sekolah,id_tahun_peperiksaan,id_bilik_kebal,ids_mata_pelajaran,id_status_pendaftaran,id_status_pendaftaran_calon,id_status_janaan_angka_giliran,id_status_tempoh_pendaftaran,status,created_at,updated_at
8,1,JB021,7,MAKTAB SULTAN ABU BAKAR,NULL,321,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
9,1,JA093,9,MRSM BATU PAHAT,NULL,431,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
10,1,JR001,10,PUSAT PERSENDIRIAN PT3 NEGERI JOHOR,NULL,20,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
11,1,JK125,8,SABK MADRASAH ALATTAS ALARABIAH JOHOR,NULL,213,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
12,1,JA111,8,SEK MEN AGAMA ATTARBIAH AL-ISLAMIAH BATU PAHAT,NULL,143,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
13,1,JB549,6,SEK MEN SRI TENBY SETIA ECO GARDENS,NULL,431,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
14,1,JG049,8,SEKOLAH MAAHAD PONTIAN,NULL,130,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
15,1,JG069,11,"SEKOLAH MENENGAH (ARAB) BUGISIAH, TAMPOK",NULL,131,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
16,1,JF101,8,SEKOLAH MENENGAH AGAMA ADDINIAH PARIT SUBARI,NULL,99,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
17,1,JE041,8,SEKOLAH MENENGAH AGAMA AL-KHAIRIAH AL-ISLAMIAH MERSING,NULL,154,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
18,1,JH097,8,SEKOLAH MENENGAH AGAMA AL-KHAIRIAH SEGAMAT,NULL,550,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
19,1,JB285,8,SEKOLAH MENENGAH AGAMA AL-QURAN WADDIN,NULL,351,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
20,1,JC501,8,SEKOLAH MENENGAH AGAMA ARABIAH KLUANG,NULL,432,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
21,1,JB566,13,SEKOLAH INTEGRITI KLUANG,NULL,56,0,4,NULL,"[2, 3, 4, 12, 14, 21, 23, 45, 50, 55, 71]",2,3,2,1,1,2021-07-15 06:07:56,2021-07-15 06:07:56
